,T,PtNH3,PtO,PtN,PtH2O,PtNO,PtN2O
0,300,0.0003515523347114078,0.0001308702615197344,8.869040741811108e-05,0.0004957002608877045,0.0003729524458757777,0.0007077024469641879
1,400,0.0004569734304509091,0.00019047171363351857,0.00014153591102000383,0.0006060415164711837,0.0004831447745750245,0.0008460393713424011
2,500,0.0005530430691017875,0.00024093196596257818,0.00018842241698319387,0.0006979475304109485,0.0005751006757219972,0.0009604366050411063
3,600,0.0006411858661748846,0.00028402871724176297,0.00022944331825972195,0.0007770275657834929,0.000654063424464203,0.00105848608940034
4,700,0.0007225802236825665,0.00032140622115789527,0.00026552024211720025,0.0008467330416822811,0.0007232877525515821,0.0011446164447768792
5,800,0.0007982591054027944,0.0003543051490463376,0.00029755457363434955,0.0009093355304897202,0.0007848944387072992,0.0012215960245225285
6,900,0.0008690813791820003,0.0003836351802069304,0.00032628229614209566,0.0009663959860796188,0.000840358080681538,0.0012912685006377445
7,1000,0.0009357256373610115,0.0004100686309630799,0.00035228007539050407,0.0010190116790962222,0.0008907573524667764,0.0013549323908807983
8,1100,0.0009987164023150925,0.00043411105561668047,0.00037599752101862824,0.001067967289672792,0.0009369104110140599,0.0014135462863561316
9,1200,0.001058460741838621,0.00045614988021994184,0.0003977876608174606,0.0011138350351792075,0.0009794543722024811,0.0014678449867882228
10,1300,0.0011152812165305247,0.0004764874469936851,0.00041793078261015757,0.00115704222745172,0.0010188954690432425,0.0015184084970164373
11,1400,0.0011694407923945054,0.0004953636623946594,0.0004366521423721977,0.0011979166287670326,0.001055642522302505,0.001565705135016113
12,1500,0.0012211601349295129,0.0005129717702714683,0.0004541349518692578,0.001236716685400251,0.0010900302140260142,0.0016101198031875333
13,1600,0.001270629123876784,0.000529469536900297,0.00047052992510263823,0.0012736516357935046,0.0011223357761311666,0.0016519733574852776
14,1700,0.0013180144096844844,0.0005449873264400278,0.00048596235383210857,0.0013088949415175528,0.0011527912457478904,0.0016915363842840534
15,1800,0.001363464400736823,0.0005596340319815097,0.0005005374085437581,0.001342593353042098,0.0011815926398077905,0.001729039309554243
16,1900,0.0014071126288328843,0.0005735015017099824,0.0005143441562142018,0.001374873127274889,0.0012089069349842537,0.001764680008221869
17,2000,0.0014490801021241543,0.000586667891054295,0.000527458641039987,0.0014058443791311937,0.0012348774524396098,0.0017986296522704294
