,T,RhNH3,RhO,RhN,RhH2O,RhNO,RhN2O
0,300,0.000429434870027247,0.00020203782497648179,9.162456741590951e-05,0.0003373153080459659,0.00046548067994250946,0.0008722871368993107
1,400,0.0005406651255710602,0.0002616025034026054,0.00014494928889423854,0.0004205044249760915,0.000576596652976808,0.0010412719875058172
2,500,0.0006399085069180737,0.0003118580545816009,0.00019208687582235515,0.0004919252203511441,0.0006686799929816978,0.0011784861468893905
3,600,0.0007299060242873727,0.00035478409670313755,0.00023325276210809867,0.0005545778759342915,0.000747477580730025,0.0012947642399591854
4,700,0.0008124695237098539,0.00039203647506508933,0.0002694201848908667,0.0006105770858712671,0.0008164529480323714,0.0013960875669215634
5,800,0.0008889396186538303,0.0004248447650752717,0.00030151452962769084,0.000661424906422937,0.0008778084757265289,0.0014860809370546907
6,900,0.0009603308461794811,0.0004541082190250741,0.0003302839881850806,0.0007081978305169039,0.0009330466615955098,0.0015671171240907455
7,1000,0.0010274045540828746,0.00048049178205811867,0.00035631191969826427,0.000751667438274244,0.0009832525758173745,0.0016408500633834859
8,1100,0.0010907316944495722,0.0005044960592866903,0.00038005183635983914,0.0007923888253937054,0.0010292428117893904,0.0017084912765896157
9,1200,0.0011507469023625595,0.000526505157241447,0.0004018591599315742,0.000830766584219814,0.0010716504620442852,0.001770962781510714
10,1300,0.0012077900597601465,0.0005468191599033262,0.0004220157104348355,0.0008671022368002882,0.0011109774080806474,0.0018289870903700942
11,1400,0.001262135611723471,0.0005656764083430619,0.00044074776028403046,0.0009016269915332747,0.001147628539604286,0.0018831433240291985
12,1500,0.0013140121990239592,0.0005832690398427929,0.0004582392165164078,0.0009345237277870269,0.001181935223822952,0.0019339040319511524
13,1600,0.0013636154675119218,0.0005997540235093249,0.0004746412814688975,0.0009659415205468497,0.0012141719812469101,0.0019816604227652942
14,1700,0.0014111163738650414,0.0006152611389565193,0.000490079597893673,0.000996005192911898,0.0012445686604791485,0.0020267402844913415
15,1800,0.0014566666266589896,0.0006298988435729075,0.0005046595937189316,0.0010248216297278469,0.001273319520111123,0.002069421090906355
16,1900,0.0015004023392721096,0.0006437586558717484,0.0005184705281667659,0.0010524840057615458,0.0013005901239767682,0.0021099398193685165
17,2000,0.0015424465726084793,0.0006569184783837089,0.0005315885913089024,0.0010790746751135902,0.0013265226549035575,0.002148500451707082
