T,S_O2,S_NH3,S_N2,S_NO,S_H2O,S_N2O
300,205.329,192.995,191.789,210.943,189.042,220.196
400,213.871,203.663,200.181,219.529,198.788,231.899
500,220.693,212.659,206.739,226.263,206.534,241.773
600,226.451,220.615,212.176,231.886,213.052,250.363
700,231.466,227.829,216.866,236.761,218.739,257.986
800,235.921,234.476,221.017,241.087,223.825,264.846
900,239.931,240.669,224.757,244.985,228.459,271.085
1000,243.578,246.486,228.17,248.536,232.738,276.804
1100,246.922,251.983,231.313,251.799,236.731,282.081
1200,250.01,257.199,234.226,254.816,240.485,286.976
1300,252.878,262.166,236.943,257.621,244.035,291.54
1400,255.556,266.907,239.487,260.243,247.407,295.811
1500,258.068,271.442,241.88,262.703,250.62,299.825
1600,260.434,275.788,244.138,265.019,253.69,303.608
1700,262.672,279.957,246.275,267.208,256.63,307.185
1800,264.796,283.962,248.304,269.282,259.451,310.577
1900,266.818,287.815,250.234,271.252,262.161,313.8
2000,268.748,291.525,252.074,273.128,264.769,316.871
